experiment,validation_type,preset,oversample,run_id,seed,model,param_count,best_epoch,val_acc,val_macro_f1,test_acc,test_macro_f1
baselines_lstm,stratified_random,paper_fair,0,0,42,fixed_cnn_1d,36323,189,0.9512195121951219,0.9495758339252448,0.9219512195121952,0.9204073067581247
baselines_lstm,stratified_random,paper_fair,0,0,42,lstm_h64,51395,97,0.8439024390243902,0.8414448007848611,0.8097560975609757,0.8026907882297917
baselines_lstm,stratified_random,paper_fair,0,0,42,lstm_h32,13411,71,0.8439024390243902,0.8261928595261928,0.775609756097561,0.7379293535060216
