experiment,validation_type,preset,oversample,model,runs,param_count,test_acc_mean,test_acc_std,test_macro_f1_mean,test_macro_f1_std,val_macro_f1_mean,val_macro_f1_std,result_dir
baselines_lstm,stratified_random,paper_fair,0,fixed_cnn_1d,1,36323,0.9219512195121952,0.0,0.9204073067581247,0.0,0.9495758339252448,0.0,outputs\20260503_第2次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,lstm_h32,1,13411,0.775609756097561,0.0,0.7379293535060216,0.0,0.8261928595261928,0.0,outputs\20260503_第2次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,lstm_h64,1,51395,0.8097560975609757,0.0,0.8026907882297917,0.0,0.8414448007848611,0.0,outputs\20260503_第2次实验\baselines_paper_fair
source_group_validation,source_group,paper_fair,0,fixed_cnn_1d,1,36323,0.8975609756097561,0.0,0.8921011641016481,0.0,0.9247041578093347,0.0,outputs\20260503_第2次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,lstm_h32,1,13411,0.7853658536585366,0.0,0.7762615493958777,0.0,0.8403323100661181,0.0,outputs\20260503_第2次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,lstm_h64,1,51395,0.8146341463414634,0.0,0.8061895228561896,0.0,0.856308583748449,0.0,outputs\20260503_第2次实验\source_group_paper_fair
