experiment,validation_type,preset,oversample,run_id,seed,model,param_count,best_epoch,val_acc,val_macro_f1,test_acc,test_macro_f1
template_ablation,stratified_random,paper_fair,0,0,42,linear_fixed_cnn,36323,134,0.9317073170731708,0.9316895893279833,0.9073170731707317,0.8997428508851787
template_ablation,stratified_random,paper_fair,0,0,42,dtw_clsmin_mean,36323,85,0.926829268292683,0.9249695612898159,0.8926829268292683,0.8849724769317505
template_ablation,stratified_random,paper_fair,0,0,42,dtw_clsmin_dba,36323,176,0.9317073170731708,0.932672647472144,0.9219512195121952,0.9146341347384325
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K1,38115,122,0.9512195121951219,0.9522751322751323,0.9170731707317074,0.9150448530617089
template_ablation,stratified_random,paper_fair,0,0,42,linear_multi_residual_K1,38115,133,0.9512195121951219,0.952494918699187,0.9073170731707317,0.8952912182843512
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K2,40803,176,0.975609756097561,0.978319783197832,0.9609756097560975,0.9580476696870646
template_ablation,stratified_random,paper_fair,0,0,42,linear_multi_residual_K2,40803,183,0.9512195121951219,0.954603536153617,0.926829268292683,0.9198662207357859
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K3,43491,94,0.9512195121951219,0.9495758339252448,0.9463414634146341,0.9452490922294844
template_ablation,stratified_random,paper_fair,0,0,42,linear_multi_residual_K3,43491,138,0.9560975609756097,0.9568888116133704,0.9121951219512195,0.8989271597967251
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K4,46179,121,0.9658536585365853,0.9649930714085465,0.9512195121951219,0.9515237494745691
template_ablation,stratified_random,paper_fair,0,0,42,linear_multi_residual_K4,46179,116,0.9512195121951219,0.9476534576534577,0.926829268292683,0.9168764568764569
template_ablation,stratified_random,paper_fair,0,0,42,dtw_random_pool_K2,40803,77,0.9365853658536586,0.9342948456085546,0.9073170731707317,0.8918369418566033
