experiment,validation_type,preset,oversample,model,runs,param_count,test_acc_mean,test_acc_std,test_macro_f1_mean,test_macro_f1_std,val_macro_f1_mean,val_macro_f1_std,result_dir
baselines_lstm,stratified_random,paper_fair,0,fixed_cnn_1d,1,36323,0.9073170731707317,0.0,0.8997428508851787,0.0,0.9316895893279833,0.0,outputs\20260503_第3次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,lstm_h32,1,13411,0.8,0.0,0.7792189795183061,0.0,0.8243316465571527,0.0,outputs\20260503_第3次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,lstm_h64,1,51395,0.8048780487804879,0.0,0.7940536463335883,0.0,0.8534429930656345,0.0,outputs\20260503_第3次实验\baselines_paper_fair
source_group_validation,source_group,paper_fair,0,fixed_cnn_1d,1,36323,0.8682926829268293,0.0,0.8635746606334842,0.0,0.9052796317247603,0.0,outputs\20260503_第3次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,lstm_h32,1,13411,0.8097560975609757,0.0,0.7998976383709878,0.0,0.8688164045011662,0.0,outputs\20260503_第3次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,lstm_h64,1,51395,0.8097560975609757,0.0,0.7896744904858496,0.0,0.8546579770936851,0.0,outputs\20260503_第3次实验\source_group_paper_fair
