experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,0,98,5,0
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,1,7,52,2
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,2,0,5,36
baselines_lstm,stratified_random,0,42,lstm_h64,0,92,11,0
baselines_lstm,stratified_random,0,42,lstm_h64,1,17,41,3
baselines_lstm,stratified_random,0,42,lstm_h64,2,0,9,32
baselines_lstm,stratified_random,0,42,lstm_h32,0,93,10,0
baselines_lstm,stratified_random,0,42,lstm_h32,1,15,41,5
baselines_lstm,stratified_random,0,42,lstm_h32,2,0,11,30
