experiment,validation_type,run_id,seed,model,class_id,class_name,precision,recall,f1,support
template_ablation,stratified_random,0,42,linear_fixed_cnn,0,small,0.9333333333333333,0.9514563106796117,0.9423076923076923,103
template_ablation,stratified_random,0,42,linear_fixed_cnn,1,medium,0.8387096774193549,0.8524590163934426,0.8455284552845529,61
template_ablation,stratified_random,0,42,linear_fixed_cnn,2,large,0.9473684210526315,0.8780487804878049,0.9113924050632912,41
template_ablation,stratified_random,0,42,dtw_clsmin_mean,0,small,0.9074074074074074,0.9514563106796117,0.9289099526066351,103
template_ablation,stratified_random,0,42,dtw_clsmin_mean,1,medium,0.8545454545454545,0.7704918032786885,0.810344827586207,61
template_ablation,stratified_random,0,42,dtw_clsmin_mean,2,large,0.9047619047619048,0.926829268292683,0.9156626506024096,41
template_ablation,stratified_random,0,42,dtw_clsmin_dba,0,small,0.9795918367346939,0.9320388349514563,0.9552238805970149,103
template_ablation,stratified_random,0,42,dtw_clsmin_dba,1,medium,0.8461538461538461,0.9016393442622951,0.873015873015873,61
template_ablation,stratified_random,0,42,dtw_clsmin_dba,2,large,0.9047619047619048,0.926829268292683,0.9156626506024096,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,0,small,0.96875,0.9029126213592233,0.9346733668341708,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,1,medium,0.8484848484848485,0.9180327868852459,0.8818897637795275,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K1,2,large,0.9069767441860465,0.9512195121951219,0.9285714285714286,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,0,small,0.9803921568627451,0.970873786407767,0.975609756097561,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,1,medium,0.9076923076923077,0.9672131147540983,0.9365079365079365,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K2,2,large,1.0,0.926829268292683,0.9620253164556963,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,0,small,0.9702970297029703,0.9514563106796117,0.9607843137254902,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,1,medium,0.890625,0.9344262295081968,0.9120000000000001,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K3,2,large,0.975,0.9512195121951219,0.9629629629629629,41
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,0,small,0.9523809523809523,0.970873786407767,0.9615384615384616,103
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,1,medium,0.9180327868852459,0.9180327868852459,0.9180327868852459,61
template_ablation,stratified_random,0,42,dtw_multi_quantile_K4,2,large,1.0,0.9512195121951219,0.975,41
template_ablation,stratified_random,0,42,dtw_random_pool_K2,0,small,0.918918918918919,0.9902912621359223,0.9532710280373833,103
template_ablation,stratified_random,0,42,dtw_random_pool_K2,1,medium,0.9375,0.7377049180327869,0.8256880733944955,61
template_ablation,stratified_random,0,42,dtw_random_pool_K2,2,large,0.8478260869565217,0.9512195121951219,0.8965517241379309,41
