"model","param_count","test_acc_mean","test_macro_f1_mean","val_macro_f1_mean"
"dtw_clsmin_dba","36323","0.9219512195121952","0.9146341347384325","0.932672647472144"
"dtw_clsmin_mean","36323","0.8926829268292683","0.8849724769317505","0.9249695612898159"
"dtw_multi_quantile_K2","40803","0.9609756097560975","0.9580476696870646","0.978319783197832"
"dtw_random_pool_K2","40803","0.9073170731707317","0.8918369418566033","0.9342948456085546"
"linear_fixed_cnn","36323","0.9073170731707317","0.8997428508851787","0.9316895893279833"
"linear_multi_residual_K2","40803","0.926829268292683","0.9198662207357859","0.954603536153617"
