experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
additional_models,stratified_random,0,42,masked_lstm_h64,0,96,7,0
additional_models,stratified_random,0,42,masked_lstm_h64,1,6,52,3
additional_models,stratified_random,0,42,masked_lstm_h64,2,0,4,37
