experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
source_group_validation,source_group,0,42,fixed_cnn_1d,0,94,9,0
source_group_validation,source_group,0,42,fixed_cnn_1d,1,11,45,5
source_group_validation,source_group,0,42,fixed_cnn_1d,2,0,2,39
source_group_validation,source_group,0,42,lstm_h64,0,91,12,0
source_group_validation,source_group,0,42,lstm_h64,1,10,40,11
source_group_validation,source_group,0,42,lstm_h64,2,0,6,35
source_group_validation,source_group,0,42,lstm_h32,0,85,18,0
source_group_validation,source_group,0,42,lstm_h32,1,6,51,4
source_group_validation,source_group,0,42,lstm_h32,2,0,11,30
