experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,0,93,10,0
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,1,9,47,5
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,2,0,8,33
