experiment,validation_type,preset,oversample,run_id,seed,model,param_count,best_epoch,val_acc,val_macro_f1,test_acc,test_macro_f1,result_dir
additional_models,stratified_random,paper_fair,0,0,42,gru_h64,38595,148,0.9365853658536586,0.9342948456085546,0.8682926829268293,0.8535916895930177,outputs\20260503_第4次实验\additional_models_paper_fair\gru_h64
additional_models,stratified_random,paper_fair,0,0,42,masked_cnn_1d,36323,140,0.9414634146341463,0.9411299641184697,0.9170731707317074,0.9113122754861885,outputs\20260503_第4次实验\additional_models_paper_fair\masked_cnn_1d
additional_models,stratified_random,paper_fair,0,0,42,masked_lstm_h64,51395,200,0.9219512195121952,0.9210539091794393,0.9024390243902439,0.8962917633955313,outputs\20260503_第4次实验\additional_models_paper_fair\masked_lstm_h64
additional_models,stratified_random,paper_fair,0,0,42,resnet1d,111171,44,0.9804878048780488,0.982598546341981,0.975609756097561,0.9734552845528456,outputs\20260503_第4次实验\additional_models_paper_fair\resnet1d
additional_models,stratified_random,paper_fair,0,0,42,transformer_d64,83971,63,0.9658536585365853,0.9652053413235978,0.9219512195121952,0.9239798090372803,outputs\20260503_第4次实验\additional_models_paper_fair\transformer_d64
template_ablation,stratified_random,paper_fair,0,0,42,linear_fixed_cnn,36323,51,0.9170731707317074,0.9141521445250093,0.8439024390243902,0.8295972857257204,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_clsmin_mean,36323,85,0.9365853658536586,0.9294488365573311,0.8780487804878049,0.8742667314859829,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_clsmin_dba,36323,158,0.9219512195121952,0.9171780789527423,0.8878048780487805,0.877086326959213,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K1,38115,109,0.9463414634146341,0.9457470828194668,0.9170731707317074,0.9170232120034715,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K2,40803,130,0.9560975609756097,0.9565503665490089,0.9414634146341463,0.9382149673411809,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K3,43491,13,0.9073170731707317,0.8981029810298103,0.8439024390243902,0.8175845675111005,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_multi_quantile_K4,46179,110,0.9658536585365853,0.9610748574278912,0.9512195121951219,0.950131015428947,outputs\20260503_第4次实验\template_ablation_paper_fair
template_ablation,stratified_random,paper_fair,0,0,42,dtw_random_pool_K2,40803,62,0.926829268292683,0.9238829333080352,0.9121951219512195,0.9006568144499179,outputs\20260503_第4次实验\template_ablation_paper_fair
