experiment,validation_type,run_id,seed,model,true_class,pred_small,pred_medium,pred_large
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,0,98,5,0
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,1,7,52,2
baselines_lstm,stratified_random,0,42,fixed_cnn_1d,2,0,5,36
