experiment,validation_type,preset,oversample,run_id,seed,model,param_count,best_epoch,val_acc,val_macro_f1,test_acc,test_macro_f1,result_dir
baselines_lstm,stratified_random,paper_fair,0,0,42,fixed_cnn_1d,36323,188,0.9463414634146341,0.9455816097795257,0.9317073170731708,0.9253403465346536,outputs\20260503_第1次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,0,42,lstm_h64,51395,106,0.8390243902439024,0.8216586019774587,0.8195121951219512,0.7993058888456112,outputs\20260503_第1次实验\baselines_paper_fair
baselines_lstm,stratified_random,paper_fair,0,0,42,lstm_h32,13411,123,0.848780487804878,0.8467150254765835,0.8,0.7884444444444445,outputs\20260503_第1次实验\baselines_paper_fair
source_group_validation,source_group,paper_fair,0,0,42,fixed_cnn_1d,36323,198,0.9414634146341463,0.9385154061624651,0.9219512195121952,0.9163524384112619,outputs\20260503_第1次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,0,42,lstm_h64,51395,71,0.8536585365853658,0.8398071625344353,0.7560975609756098,0.7301587301587301,outputs\20260503_第1次实验\source_group_paper_fair
source_group_validation,source_group,paper_fair,0,0,42,lstm_h32,13411,100,0.848780487804878,0.8483631757085641,0.8341463414634146,0.8221649208491314,outputs\20260503_第1次实验\source_group_paper_fair
